"full_name","abbr_name","class_rank"
Город,г,1
Город,г.,1
Город,г,4
Город,г.,4
Город,г,6
Абонентский ящик,а/я,7
Аллея,ал.,7
Аллея,аллея,7
Балка,балка,7
Берег,берег,7
Бугор,бугор,7
Бульвар,б-р,7
Вал,вал,7
Взвоз,взв.,7
Въезд,въезд,7
Гаражно-строительный кооп.,гск,7
Городок,г-к,7
Дачное неком-е партнерство,днп,7
Деревня,д,7
Дорога,дор,7
ж/д останов. (обгонный) пункт,ж/д_оп,7
Железнодорожная будка,ж/д_будка,7
Железнодорожная казарма,ж/д_казарм,7
Железнодорожная платформа,ж/д_платф,7
Железнодорожная станция,ж/д_ст,7
Железнодорожный пост,ж/д_пост,7
Железнодорожный разъезд,ж/д_рзд,7
Животноводческая точка,жт,7
Заезд,заезд,7
Заезд,ззд.,7
Зона,зона,7
Казарма,казарма,7
Квартал,кв-л,7
Километр,км,7
Кольцо,к-цо,7
Кольцо,кольцо,7
Коса,коса,7
Линия,линия,7
Линия,лн.,7
Магистраль,мгстр.,7
Маяк,маяк,7
Местечко,м,7
Местность,местность,7
Микрорайон,мкр,7
Мост,мост,7
Набережная,наб,7
Набережная,наб.,7
Населенный пункт,нп,7
Некоммерческое партнерство,н/п,7
Остров,остров,7
Парк,парк,7
Переезд,пер-д,7
Переезд,переезд,7
Переулок,пер,7
Переулок,пер.,7
Планировочный район,п/р,7
Платформа,платф,7
Площадка,пл-ка,7
Площадь,пл,7
Полустанок,полустанок,7
Поселок,п,7
Поселок и(при) станция(и),п/ст,7
Почтовое отделение,п/о,7
Проезд,пр-д,7
Проезд,проезд,7
Промзона,промзона,7
Просек,пр-к,7
Просек,просек,7
Просека,пр-ка,7
Просека,просека,7
Проселок,пр-лок,7
Проселок,проселок,7
Проспект,пр-кт,7
Проулок,проул.,7
Проулок,проулок,7
Разъезд,рзд,7
Разъезд,рзд.,7
Ряд(ы),ряд,7
Ряды,ряды,7
Сад,сад,7
Садовое неком-е товарищество,снт,7
Садовое товарищество,с/т,7
Село,с,7
Сквер,с-р,7
Сквер,сквер,7
Слобода,сл,7
Спуск,с-к,7
Спуск,спуск,7
Станция,ст,7
Строение,стр,7
Съезд,сзд.,7
Территория,тер,7
Территория ДНТ,тер. ДНТ,7
Территория СНТ,тер. СНТ,7
Тракт,тракт,7
Тупик,туп,7
Улица,ул,7
Улица,ул.,7
Участок,уч-к,7
Ферма,ферма,7
Фермерское хозяйство,ф/х,7
Хутор,х,7
Шоссе,ш,7
Шоссе,ш.,7
